voice_id	measured_lufs	gain_db_to_target	volume_linear_to_target	eq	length_scale_base	pitch_semitones	dur_s	words	measured_wpm	median_f0_hz	f0_p10_hz	f0_p90_hz	voiced_ratio	sex_guess	sex_confidence	newSpeed	newVol
58	-14.9	-5.1	0.56	off	1.1	0	19.2	68	212.47	128.2	109.7	393.75	0.82	male	0.54	0.83	1.62
59	-16.3	-3.7	0.65	off	1.06	0	21.39	68	190.78	196.88	150	265.66	0.77	female	0.3	0.74	1.38
60	-14.1	-5.9	0.51	off	1.04	0	21.76	68	187.53	256.4	210	416.04	0.81	female	0.8	0.73	1.78
61	-14.9	-5.1	0.56	off	1.1	0	18.38	68	222	222.73	180.74	286.36	0.75	female	0.94	0.86	1.62
62	-16.7	-3.3	0.68	off	1.1	0	18.76	68	217.46	196.88	167.05	324.26	0.76	female	0.24	0.84	1.32
63	-16.7	-3.3	0.68	off	1.1	0	17.81	68	229.09	185.29	160.95	256.4	0.79	female	0.01	0.89	1.32
64	-15.1	-4.9	0.57	off	1.04	0	21.75	68	187.63	180.74	153.13	242.31	0.74	ambiguous	0.5	0.73	1.58
65	-16.4	-3.6	0.66	off	1.1	0	20.25	68	201.5	208.02	179.27	272.22	0.79	female	0.58	0.78	1.36
66	-15.5	-4.5	0.6	off	1	0	22.87	68	178.39	204.17	163.33	275.63	0.74	female	0.48	0.69	1.51
67	-16.3	-3.7	0.65	off	1.1	0	19.56	68	208.56	147.99	102.08	210	0.72	male	0.14	0.81	1.38
68	-15.9	-4.1	0.62	off	1.05	0	21.58	68	189.04	222.73	183.75	279.11	0.8	female	0.94	0.73	1.44
69	-15.5	-4.5	0.6	off	1.07	0	21.2	68	192.45	210	179.27	354.53	0.77	female	0.5	0.75	1.51
